"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance","MW","nAtom","naAromAtom","nAtomLC","nAtomP","nB","nAromBond","nRotB","XLogP","ALogP","MLogP","TopoPSA","tpsaEfficiency","HybRatio","Fsp3","FMF","ECCEN","WPATH","WPOL","nHBDon","nHBAcc"
"PP_Chaqui_32_Clusia multiflora","MDP0209","MDP0209.mzXML","clumul","PP_Chaqui_32","Clusia multiflora","Clusiaceae","Clusia","PP_Chaqui_32_Clusia multiflora","PP_Chaqui_32","Clusia multiflora",181,413.592753017496,53.6536384901165,11.5621388122739,4.41602225549508,13.7505094951294,31.926331929753,11.9521990277272,5.92415068577685,3.46691496435997,2.93724451224844,2.92600031532871,133.514099010105,0.327991104041398,0.339844364707398,0.339576207079734,0.367465929371672,708.521031674592,2846.96660274297,52.1265291954701,4.10445652588917,6.61677380314883
"PP_Chaqui_32_Miconia biacuta","MDP0213","MDP0213.mzXML","mic1bia","PP_Chaqui_32","Miconia biacuta","Melastomataceae","Miconia","PP_Chaqui_32_Miconia biacuta","PP_Chaqui_32","Miconia biacuta",42,392.877382158721,51.7316557129902,10.8216401321587,3.45004012769298,15.6169120974014,31.0888530565493,11.71207621116,4.4720088057281,3.7420676927886,2.98498649282517,2.99846701102746,117.498438719687,0.30522708340838,0.367689066571571,0.36750244946042,0.372673817690744,604.98502137883,2300.61394810669,54.9717740022668,3.53495437348276,5.7425447713629
"PP_Chaqui_32_Cinchona pubescens","MDP0206","MDP0206.mzXML","cin1pub","PP_Chaqui_32","Cinchona pubescens","Rubiaceae","Cinchona","PP_Chaqui_32_Cinchona pubescens","PP_Chaqui_32","Cinchona pubescens",1,363.325958218544,48.2171947077697,10.6233787433723,3.08188473278189,11.7753341207976,29.5032197605226,11.3358483098489,3.10558663723836,2.68975153514784,2.49560510570031,2.92545843489319,91.2448482398773,0.258060453048106,0.374250726559883,0.374247698980436,0.398668618395145,561.493978587424,1881.18411199969,49.1664494427991,2.43917249543555,4.71075607601152
"PP_Chaqui_32_Weinmannia davidsonii","MDP0221","MDP0221.mzXML","weidav","PP_Chaqui_32","Weinmannia davidsonii","Cunoniaceae","Weinmannia","PP_Chaqui_32_Weinmannia davidsonii","PP_Chaqui_32","Weinmannia davidsonii",1,358.371733732769,42.907795117974,14.068393922574,2.22578944907098,17.5531617607319,28.0427441456769,14.7322107217517,3.51223632426827,2.94412197540569,2.44382185535611,2.59399982414521,129.835353576012,0.368063741832652,0.20588437544381,0.205871460092606,0.421963334443025,536.438650189763,1848.81542394902,46.393059160677,4.35873638772346,5.851648718859
"PP_Chaqui_32_Hedyosmum lechleri","MDP0211","MDP0211.mzXML","hedlec","PP_Chaqui_32","Hedyosmum lechleri","Chloranthaceae","Hedyosmum","PP_Chaqui_32_Hedyosmum lechleri","PP_Chaqui_32","Hedyosmum lechleri",64,396.108949957631,57.336096775533,7.92622573167848,5.33837946143943,9.97087379878452,30.6513245367711,8.08442573379129,6.0661860947925,3.97349946476861,3.4812049177484,3.14765900170138,102.618442810988,0.285614686054476,0.472443028838617,0.472226345949362,0.325312658300924,708.662868769996,2762.54488151039,50.9048822558381,2.80370846962023,5.20818003035208
"PP_Chaqui_32_Persea AF-15646","MDP0215","MDP0215.mzXML","per6AF15646","PP_Chaqui_32","Persea AF-15646","Lauraceae","Persea","PP_Chaqui_32_Persea AF-15646",NA,NA,15,364.004906768246,44.836362532885,12.1452540640334,3.3607322266552,15.2956114932351,28.1578951548181,12.6197393436919,4.40758961682224,2.54066479880617,2.23018597589961,2.59276370237168,131.000352404919,0.366534905025371,0.266870588942329,0.266812709095288,0.39349174355087,559.562841965143,2016.58397591687,44.9243781073718,4.17915650020378,6.08802751925148
"PP_Chaqui_32_Hedyosmum racemosum","MDP0212","MDP0212.mzXML","hedrac","PP_Chaqui_32","Hedyosmum racemosum","Chloranthaceae","Hedyosmum","PP_Chaqui_32_Hedyosmum racemosum","PP_Chaqui_32","Hedyosmum racemosum",4,263.52760121424,31.2417389052366,9.70364038103722,2.87122706913279,13.3740886367933,20.0675371031249,10.4774834076977,2.81633570608335,1.69274368967857,1.5788179832787,2.17618757218174,95.0280200877077,0.348832127486888,0.191184795213499,0.191121018161126,0.422834024678114,333.273771053301,1027.91856965501,29.4477504355336,2.31793309047028,4.49260000819287
"PP_Chaqui_32_Brunellia boliviana","MDP0204","MDP0204.mzXML","bru1bol","PP_Chaqui_32","Brunellia boliviana","Brunelliaceae","Brunellia","PP_Chaqui_32_Brunellia boliviana","PP_Chaqui_32","Brunellia boliviana",7,397.147848200206,58.0385095522355,6.18199477124267,3.60673057762352,10.5481863450216,31.3401848260641,6.5893019697303,3.72274810637683,4.33999362968609,3.5267838997276,3.2749602383508,100.53880273571,0.265661763103784,0.529543320204362,0.526192808714711,0.334071595898322,603.77564501204,2200.59763491198,58.700215099687,2.9761666618359,5.38076562750073
"PP_Chaqui_32_Weinmannia crassifolia","MDP0220","MDP0220.mzXML","weicra","PP_Chaqui_32","Weinmannia crassifolia","Cunoniaceae","Weinmannia","PP_Chaqui_32_Weinmannia crassifolia","PP_Chaqui_32","Weinmannia crassifolia",166,361.574982026265,44.4746197419409,11.5710694790639,3.72375450004869,16.3777317577965,27.8207964105461,12.1383026868849,5.14468425516819,2.4305991045984,2.15338320178439,2.52172308547103,130.218334651565,0.369801116004664,0.265294126902683,0.265275800592782,0.382974060009183,549.545175437157,1959.95189327511,44.2434762872986,3.59991618244812,6.05006233141527
"PP_Chaqui_32_Clethra GAT-2810","MDP0208","MDP0208.mzXML","cle3GAT2810","PP_Chaqui_32","Clethra GAT-2810","Clethraceae","Clethra","PP_Chaqui_32_Clethra GAT-2810",NA,NA,156,429.192967422022,65.5152275070302,6.84207465904501,4.89919842323395,7.95708115656606,33.8602304229852,6.96546044603032,5.10653588896574,5.515286645376,4.56751076428102,3.65598989197574,91.2517675475049,0.216074310876897,0.568961572285155,0.568038149693139,0.314220090304195,756.777334260104,3070.04322100627,61.4808111486022,2.83862884584411,4.61630338716686
