"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance"
"PP_Chaqui_32_Clusia multiflora","MDP0209","MDP0209.mzXML","clumul","PP_Chaqui_32","Clusia multiflora","Clusiaceae","Clusia","PP_Chaqui_32_Clusia multiflora","PP_Chaqui_32","Clusia multiflora",181
"PP_Chaqui_32_Miconia biacuta","MDP0213","MDP0213.mzXML","mic1bia","PP_Chaqui_32","Miconia biacuta","Melastomataceae","Miconia","PP_Chaqui_32_Miconia biacuta","PP_Chaqui_32","Miconia biacuta",42
"PP_Chaqui_32_Cinchona pubescens","MDP0206","MDP0206.mzXML","cin1pub","PP_Chaqui_32","Cinchona pubescens","Rubiaceae","Cinchona","PP_Chaqui_32_Cinchona pubescens","PP_Chaqui_32","Cinchona pubescens",1
"PP_Chaqui_32_Weinmannia davidsonii","MDP0221","MDP0221.mzXML","weidav","PP_Chaqui_32","Weinmannia davidsonii","Cunoniaceae","Weinmannia","PP_Chaqui_32_Weinmannia davidsonii","PP_Chaqui_32","Weinmannia davidsonii",1
"PP_Chaqui_32_Hedyosmum lechleri","MDP0211","MDP0211.mzXML","hedlec","PP_Chaqui_32","Hedyosmum lechleri","Chloranthaceae","Hedyosmum","PP_Chaqui_32_Hedyosmum lechleri","PP_Chaqui_32","Hedyosmum lechleri",64
"PP_Chaqui_32_Persea AF-15646","MDP0215","MDP0215.mzXML","per6AF15646","PP_Chaqui_32","Persea AF-15646","Lauraceae","Persea","PP_Chaqui_32_Persea AF-15646",NA,NA,NA
"PP_Chaqui_32_Hedyosmum racemosum","MDP0212","MDP0212.mzXML","hedrac","PP_Chaqui_32","Hedyosmum racemosum","Chloranthaceae","Hedyosmum","PP_Chaqui_32_Hedyosmum racemosum","PP_Chaqui_32","Hedyosmum racemosum",4
"PP_Chaqui_32_Brunellia boliviana","MDP0204","MDP0204.mzXML","bru1bol","PP_Chaqui_32","Brunellia boliviana","Brunelliaceae","Brunellia","PP_Chaqui_32_Brunellia boliviana","PP_Chaqui_32","Brunellia boliviana",7
"PP_Chaqui_32_Weinmannia crassifolia","MDP0220","MDP0220.mzXML","weicra","PP_Chaqui_32","Weinmannia crassifolia","Cunoniaceae","Weinmannia","PP_Chaqui_32_Weinmannia crassifolia","PP_Chaqui_32","Weinmannia crassifolia",166
"PP_Chaqui_32_Clethra GAT-2810","MDP0208","MDP0208.mzXML","cle3GAT2810","PP_Chaqui_32","Clethra GAT-2810","Clethraceae","Clethra","PP_Chaqui_32_Clethra GAT-2810",NA,NA,NA
"PP_Chaqui_32_Myrsine coriacea","MDP0214","MDP0214.mzXML","myr8cor","PP_Chaqui_32","Myrsine coriacea","Primulaceae","Myrsine","PP_Chaqui_32_Myrsine coriacea","PP_Chaqui_32","Myrsine coriacea",35
"PP_Chaqui_32_Weinmannia LC-4951","MDP0223","MDP0223.mzXML","weiLC4951","PP_Chaqui_32","Weinmannia LC-4951","Cunoniaceae","Weinmannia","PP_Chaqui_32_Weinmannia LC-4951",NA,NA,NA
"PP_Chaqui_32_Clethra cuneata","MDP0207","MDP0207.mzXML","cle3cun","PP_Chaqui_32","Clethra cuneata","Clethraceae","Clethra","PP_Chaqui_32_Clethra cuneata","PP_Chaqui_32","Clethra cuneata",5
"PP_Chaqui_32_Weinmannia pinnata","MDP0224","MDP0224.mzXML","weipin","PP_Chaqui_32","Weinmannia pinnata","Cunoniaceae","Weinmannia","PP_Chaqui_32_Weinmannia pinnata","PP_Chaqui_32","Weinmannia pinnata",6
"PP_Chaqui_32_Symplocos mapiriensis","MDP0219","MDP0219.mzXML","sym2map","PP_Chaqui_32","Symplocos mapiriensis","Symplocaceae","Symplocos","PP_Chaqui_32_Symplocos mapiriensis","PP_Chaqui_32","Symplocos mapiriensis",9
"PP_Chaqui_32_Weinmannia haenkeana","MDP0222","MDP0222.mzXML","weihae","PP_Chaqui_32","Weinmannia haenkeana","Cunoniaceae","Weinmannia","PP_Chaqui_32_Weinmannia haenkeana","PP_Chaqui_32","Weinmannia haenkeana",2
"PP_Chaqui_32_Clusia ternstroemioides","MDP0210","MDP0210.mzXML","cluter","PP_Chaqui_32","Clusia ternstroemioides","Clusiaceae","Clusia","PP_Chaqui_32_Clusia ternstroemioides","PP_Chaqui_32","Clusia ternstroemioides",1
