"","filename","ATTRIBUTE_CollectionNumber","ATTRIBUTE_Family","ATTRIBUTE_Genus","ATTRIBUTE_Species","ATTRIBUTE_Genus_species","ATTRIBUTE_SpeciesCode","ATTRIBUTE_Latitude","ATTRIBUTE_Longitude"
"1","MD00002.mzXML","LC-4110B","Phyllanthaceae","Croizatia","NCH-25","Croizatia_NCH-25","cro1NCH25",-14.1892,-68.3339
"2","MD00003.mzXML","LC-4109B","Phyllanthaceae","Croizatia","NCH-25","Croizatia_NCH-25","cro1NCH25",-14.1892,-68.3339
"3","MD00004.mzXML","LC-4288B","Monimiaceae","Mollinedia","ovata","Mollinedia_ovata","molova",-14.1892,-68.3339
"4","MD00005.mzXML","LC-4106B","Phyllanthaceae","Croizatia","NCH-25","Croizatia_NCH-25","cro1NCH25",-14.1892,-68.3339
"5","MD00006.mzXML","LC-4200B","Urticaceae","Pourouma","bicolor","Pourouma_bicolor","pou2bic",-14.1892,-68.3339
"6","MD00007.mzXML","LC-4195B","Caryocaraceae","Caryocar","dentatum","Caryocar_dentatum","car5den",-14.1892,-68.3339
"7","MD00008.mzXML","LC-4328B","Urticaceae","Pourouma","minor","Pourouma_minor","pou2min",-14.1892,-68.3339
"8","MD00009.mzXML","LC-4179B","Euphorbiaceae","Alchornea","glandulosa","Alchornea_glandulosa","alcgla",-14.1892,-68.3339
"9","MD00010.mzXML","LC-4371B","Euphorbiaceae","Alchornea","glandulosa","Alchornea_glandulosa","alcgla",-14.1892,-68.3339
"10","MD00011.mzXML","LC-4277B","Urticaceae","Pourouma","minor","Pourouma_minor","pou2min",-14.1892,-68.3339
"11","MD00012.mzXML","LC-4336B","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium_cordatum","apacor",-14.1892,-68.3339
"12","MD00013.mzXML","LC-4319B","Peraceae","Chaetocarpus","myrsinites","Chaetocarpus_myrsinites","cha1myr",-14.1892,-68.3339
"13","MD00014.mzXML","LC-4143B","Rubiaceae","Palicourea","tinctoria","Palicourea_tinctoria","paltin",-14.1892,-68.3339
"14","MD00015.mzXML","LC-4244B","Urticaceae","Pourouma","minor","Pourouma_minor","pou2min",-14.1892,-68.3339
"15","MD00016.mzXML","LC-4362B","Aquifoliaceae","Ilex","petiolaris","Ilex_petiolaris","ilepet",-14.1892,-68.3339
"16","MD00017.mzXML","LC-4100B","Urticaceae","Pourouma","bicolor","Pourouma_bicolor","pou2bic",-14.1892,-68.3339
"17","MD00018.mzXML","LC-4159B","Urticaceae","Pourouma","bicolor","Pourouma_bicolor","pou2bic",-14.1892,-68.3339
"18","MD00019.mzXML","LC-4366B","Urticaceae","Pourouma","bicolor","Pourouma_bicolor","pou2bic",-14.1892,-68.3339
"19","MD00020.mzXML","LC-4186B","Phyllanthaceae","Hieronyma","GAT-658","Hieronyma_GAT-658","hieGAT658",-14.1892,-68.3339
"20","MD00021.mzXML","LC-4344B","Euphorbiaceae","Alchornea","triplinervia","Alchornea_triplinervia","alctri",-14.1892,-68.3339
"21","MD00022.mzXML","LC-4093B","Monimiaceae","Mollinedia","ovata","Mollinedia_ovata","molova",-14.1892,-68.3339
"22","MD00023.mzXML","LC-4095B","Burseraceae","Protium","montanum","Protium_montanum","pro2mon",-14.1892,-68.3339
"23","MD00024.mzXML","LC-4182B","Aquifoliaceae","Ilex","petiolaris","Ilex_petiolaris","ilepet",-14.1892,-68.3339
"24","MD00025.mzXML","LC-4111B","Phyllanthaceae","Croizatia","NCH-25","Croizatia_NCH-25","cro1NCH25",-14.1892,-68.3339
